Molecular Weight,AlogP,#RO5 Violations,Action_Encoded,pIC50
365.44,2.33,0.0,1,5.552841968657781
241.29,2.88,0.0,1,5.549596913844634
507.43,5.19,2.0,1,5.535212480354063
363.46,2.49,0.0,0,5.533132379645891
468.56,3.39,0.0,0,5.525783735923745
271.71,3.86,0.0,0,5.525783735923745
427.51,3.74,0.0,1,5.522878745280337
318.41,3.56,0.0,1,5.519993057042849
316.4,3.17,0.0,1,5.510041520575165
316.4,2.74,0.0,1,5.508638306165727
375.38,3.3,0.0,0,5.507239610973162
578.0,3.59,0.0,0,5.5003129173815966
346.48,3.29,0.0,0,5.498940737782249
494.52,4.46,0.0,0,5.497572880015567
296.29,1.29,0.0,0,5.497572880015567
293.36,3.4,0.0,1,5.494850021680094
368.84,1.97,0.0,1,5.488116639021126
382.87,2.23,0.0,1,5.488116639021126
342.39,3.67,0.0,1,5.485452247339714
380.45,2.36,0.0,1,5.481486060122113
622.45,3.7,1.0,0,5.481486060122113
449.62,4.2,0.0,1,5.47755576649368
316.15,4.45,0.0,0,5.4723700991286615
398.47,3.12,0.0,1,5.468521082957745
411.51,3.92,0.0,1,5.468521082957745
405.5,3.11,0.0,1,5.468521082957745
442.56,3.87,0.0,1,5.467245621007502
373.43,3.93,0.0,0,5.453457336521869
198.22,0.85,0.0,0,5.443697499232712
284.32,2.53,0.0,1,5.440691989092987
363.46,2.63,0.0,1,5.436518914605589
434.27,3.41,0.0,1,5.436518914605589
415.47,3.87,0.0,1,5.431798275933005
230.19,0.69,0.0,0,5.431798275933005
188.15,0.37,0.0,0,5.431798275933005
254.31,3.75,0.0,0,5.42021640338319
343.86,4.0,0.0,0,5.42021640338319
261.71,3.23,0.0,1,5.399462705635531
411.51,4.04,0.0,1,5.3979400086720375
341.36,4.5,0.0,0,5.394694953858891
416.93,3.41,0.0,1,5.39040559077478
280.33,2.73,0.0,1,5.382370702242158
379.46,2.96,0.0,1,5.376750709602099
319.36,4.08,0.0,0,5.367542707815276
170.16,0.07,0.0,0,5.366531544420414
292.21,2.55,0.0,0,5.366531544420414
397.29,2.44,0.0,1,5.3655227298392685
451.49,5.24,1.0,0,5.364516253185088
479.37,3.66,0.0,1,5.36251027048749
272.7,2.64,0.0,0,5.361510743045363
496.01,2.06,0.0,1,5.354577730650908
340.22,1.7,0.0,0,5.35261702988538
380.45,2.36,0.0,1,5.346787486224656
403.53,4.26,0.0,1,5.346787486224656
227.26,2.95,0.0,0,5.342944147142896
310.38,3.65,0.0,0,5.341988603342887
328.8,4.44,0.0,0,5.33913452199613
484.63,5.87,1.0,1,5.321481620959886
360.89,3.21,0.0,0,5.320572103387881
144.1,0.16,0.0,0,5.318758762624412
258.36,4.25,0.0,0,5.314258261397736
475.52,4.72,0.0,0,5.314258261397736
419.35,4.65,0.0,0,5.313363730737707
401.47,2.46,0.0,1,5.309803919971486
404.52,2.95,0.0,1,5.309803919971486
443.5,2.99,0.0,0,5.301029995663981
472.54,3.6,0.0,0,5.301029995663981
452.54,2.82,0.0,0,5.301029995663981
464.61,3.71,0.0,0,5.301029995663981
443.5,2.99,0.0,0,5.301029995663981
391.48,2.72,0.0,1,5.301029995663981
407.51,3.65,0.0,0,5.301029995663981
267.24,2.5,0.0,1,5.301029995663981
408.5,3.05,0.0,0,5.301029995663981
